iter	Passed	Remaining
455	931	1111
456	933	1108
457	934	1105
458	935	1102
459	940	1104
460	941	1101
461	942	1098
462	944	1095
463	945	1091
464	946	1088
465	947	1085
466	948	1081
467	949	1078
468	950	1075
469	951	1072
470	961	1079
471	962	1077
472	964	1074
473	965	1071
474	966	1068
475	972	1070
476	973	1067
477	974	1064
478	976	1061
479	977	1058
480	978	1055
481	979	1053
482	981	1050
483	982	1047
484	989	1050
485	992	1050
486	994	1047
487	995	1044
488	996	1040
489	997	1037
490	998	1034
491	1020	1053
492	1021	1050
493	1023	1048
494	1024	1045
495	1025	1042
496	1027	1040
497	1028	1037
498	1030	1034
499	1032	1032
500	1034	1030
501	1036	1028
502	1037	1025
503	1039	1023
504	1041	1020
505	1042	1017
506	1043	1015
507	1049	1016
508	1051	1014
509	1052	1011
510	1053	1008
511	1054	1005
512	1055	1002
513	1056	999
514	1058	996
515	1059	993
516	1064	994
517	1066	992
518	1067	989
519	1068	986
520	1070	983
521	1071	981
522	1072	978
523	1073	975
524	1079	976
525	1081	974
526	1082	971
527	1097	981
528	1100	979
529	1101	976
530	1102	973
531	1103	970
532	1104	967
533	1106	965
534	1112	967
535	1114	965
536	1116	962
537	1117	959
538	1118	956
539	1119	953
540	1121	951
541	1125	951
542	1127	948
543	1132	949
544	1134	947
545	1135	944
546	1137	941
547	1141	941
548	1143	939
549	1144	936
550	1145	933
551	1147	931
552	1149	929
553	1150	926
554	1153	924
555	1157	924
556	1159	922
557	1160	919
558	1161	916
559	1163	913
560	1164	911
561	1165	908
562	1166	905
563	1167	902
564	1168	899
565	1179	904
566	1180	901
567	1181	898
568	1182	895
569	1184	893
570	1188	893
571	1190	891
572	1192	888
573	1194	886
574	1196	884
575	1198	882
576	1199	879
577	1204	879
578	1207	877
579	1208	875
580	1210	872
581	1211	870
582	1213	868
583	1215	865
584	1219	865
585	1221	862
586	1222	859
587	1223	857
588	1225	855
589	1226	852
590	1228	849
591	1229	847
592	1231	845
593	1233	843
594	1235	840
595	1236	838
596	1238	835
597	1239	833
598	1240	830
599	1242	828
600	1245	826
601	1250	826
602	1251	823
603	1252	821
604	1253	818
605	1255	816
606	1256	813
607	1258	811
608	1262	810
609	1264	808
610	1266	806
611	1267	803
612	1269	801
613	1270	798
614	1271	796
615	1273	793
616	1275	792
617	1278	790
618	1279	787
619	1281	785
620	1282	782
621	1284	780
622	1286	778
623	1287	775
624	1291	775
625	1293	772
626	1294	770
627	1296	767
628	1297	765
629	1298	762
630	1300	760
631	1301	757
632	1303	755
633	1308	755
634	1310	753
635	1311	750
636	1313	748
637	1314	745
638	1317	744
639	1318	741
640	1324	741
641	1326	739
642	1328	737
643	1330	735
644	1331	732
645	1333	730
646	1341	731
647	1343	729
648	1344	727
649	1349	726
650	1357	727
651	1358	725
652	1359	722
653	1360	720
654	1362	717
655	1363	714
656	1364	712
657	1365	709
658	1369	708
659	1370	706
660	1371	703
661	1373	701
662	1375	699
663	1378	697
664	1380	695
665	1384	694
666	1385	691
667	1386	689
668	1387	686
669	1388	683
670	1389	681
671	1390	678
672	1391	676
673	1392	673
674	1393	670
675	1394	668
676	1395	665
677	1397	663
678	1399	661
679	1401	659
680	1402	657
681	1403	654
682	1405	652
683	1406	649
684	1406	647
685	1408	644
686	1409	641
687	1410	639
688	1411	637
689	1414	635
690	1416	633
691	1417	630
692	1418	628
693	1419	625
694	1420	623
695	1421	620
696	1422	618
697	1423	615
698	1424	613
699	1425	611
700	1430	610
701	1431	607
702	1432	605
703	1433	602
704	1434	600
705	1435	597
706	1436	595
707	1437	592
708	1438	590
709	1439	587
710	1440	585
711	1441	583
712	1444	581
713	1445	579
714	1446	576
715	1447	574
716	1448	571
717	1449	569
718	1450	566
719	1451	564
720	1452	562
721	1453	559
722	1454	557
723	1456	555
724	1457	552
725	1461	551
726	1462	549
727	1463	546
728	1464	544
729	1465	541
730	1466	539
731	1467	537
732	1468	534
733	1468	532
734	1469	529
735	1470	527
736	1471	525
737	1472	522
738	1474	520
739	1476	518
740	1477	516
741	1478	514
742	1479	511
743	1480	509
744	1481	507
745	1482	504
746	1483	502
747	1484	500
748	1486	498
749	1487	495
750	1491	494
751	1492	492
752	1493	490
753	1494	487
754	1495	485
755	1496	483
756	1497	480
757	1498	478
758	1499	476
759	1500	473
760	1500	471
761	1501	469
762	1502	466
763	1506	465
764	1507	463
765	1508	460
766	1509	458
767	1510	456
768	1511	454
769	1512	451
770	1513	449
771	1514	447
772	1515	444
773	1520	443
774	1522	441
775	1523	439
776	1523	437
777	1524	435
778	1525	432
779	1526	430
780	1527	428
781	1528	426
782	1529	423
783	1533	422
784	1535	420
785	1536	418
786	1537	416
787	1538	413
788	1539	411
789	1540	409
790	1541	407
791	1542	405
792	1543	402
793	1544	400
794	1545	398
795	1546	396
796	1549	394
797	1550	392
798	1551	390
799	1552	388
800	1553	385
801	1554	383
802	1555	381
803	1556	379
804	1556	377
805	1557	374
806	1558	372
807	1559	370
808	1560	368
809	1563	366
810	1565	364
811	1566	362
812	1567	360
